"area","value","date","unit","description","name","iso3c"
"Afghanistan",22.261,2002,"%","Urban population share","Urban population","Afghanistan"
"Afghanistan",22.169,2001,"%","Urban population share","Urban population","Afghanistan"
"Afghanistan",22.078,2000,"%","Urban population share","Urban population","Afghanistan"
"Afghanistan",21.986,1999,"%","Urban population share","Urban population","Afghanistan"
"Afghanistan",21.895,1998,"%","Urban population share","Urban population","Afghanistan"
"Afghanistan",21.805,1997,"%","Urban population share","Urban population","Afghanistan"
"Afghanistan",21.714,1996,"%","Urban population share","Urban population","Afghanistan"
"Afghanistan",21.624,1995,"%","Urban population share","Urban population","Afghanistan"
"Afghanistan",21.534,1994,"%","Urban population share","Urban population","Afghanistan"
"Afghanistan",21.444,1993,"%","Urban population share","Urban population","Afghanistan"
"Afghanistan",21.355,1992,"%","Urban population share","Urban population","Afghanistan"
"Afghanistan",21.266,1991,"%","Urban population share","Urban population","Afghanistan"
"Afghanistan",21.177,1990,"%","Urban population share","Urban population","Afghanistan"
"Afghanistan",64.486,2018,"years","","Life expectancy","Afghanistan"
"Afghanistan",64.13,2017,"years","","Life expectancy","Afghanistan"
"Afghanistan",63.763,2016,"years","","Life expectancy","Afghanistan"
"Afghanistan",63.377,2015,"years","","Life expectancy","Afghanistan"
"Afghanistan",62.966,2014,"years","","Life expectancy","Afghanistan"
"Afghanistan",62.525,2013,"years","","Life expectancy","Afghanistan"
"Afghanistan",62.054,2012,"years","","Life expectancy","Afghanistan"
"Afghanistan",61.553,2011,"years","","Life expectancy","Afghanistan"
"Afghanistan",61.028,2010,"years","","Life expectancy","Afghanistan"
"Afghanistan",60.484,2009,"years","","Life expectancy","Afghanistan"
"Afghanistan",59.93,2008,"years","","Life expectancy","Afghanistan"
"Afghanistan",59.375,2007,"years","","Life expectancy","Afghanistan"
"Afghanistan",58.826,2006,"years","","Life expectancy","Afghanistan"
"Afghanistan",58.29,2005,"years","","Life expectancy","Afghanistan"
"Afghanistan",57.772,2004,"years","","Life expectancy","Afghanistan"
"Afghanistan",57.271,2003,"years","","Life expectancy","Afghanistan"
"Afghanistan",56.784,2002,"years","","Life expectancy","Afghanistan"
"Afghanistan",56.308,2001,"years","","Life expectancy","Afghanistan"
"Afghanistan",55.841,2000,"years","","Life expectancy","Afghanistan"
"Afghanistan",55.376,1999,"years","","Life expectancy","Afghanistan"
"Afghanistan",54.906,1998,"years","","Life expectancy","Afghanistan"
"Afghanistan",54.424,1997,"years","","Life expectancy","Afghanistan"
"Afghanistan",53.924,1996,"years","","Life expectancy","Afghanistan"
"Afghanistan",53.398,1995,"years","","Life expectancy","Afghanistan"
"Afghanistan",52.842,1994,"years","","Life expectancy","Afghanistan"
"Afghanistan",52.256,1993,"years","","Life expectancy","Afghanistan"
"Afghanistan",51.641,1992,"years","","Life expectancy","Afghanistan"
"Afghanistan",50.999,1991,"years","","Life expectancy","Afghanistan"
"Afghanistan",50.331,1990,"years","","Life expectancy","Afghanistan"
"Afghanistan",493.756581366026,2018,"current US$","","GDP per capita","Afghanistan"
"Afghanistan",519.888912573073,2017,"current US$","","GDP per capita","Afghanistan"
"Afghanistan",509.220100485356,2016,"current US$","","GDP per capita","Afghanistan"
"Afghanistan",578.466352941708,2015,"current US$","","GDP per capita","Afghanistan"
"Afghanistan",613.856505217398,2014,"current US$","","GDP per capita","Afghanistan"
"Afghanistan",637.165463951798,2013,"current US$","","GDP per capita","Afghanistan"
"Afghanistan",641.871437960934,2012,"current US$","","GDP per capita","Afghanistan"
"Afghanistan",591.162798293135,2011,"current US$","","GDP per capita","Afghanistan"
"Afghanistan",543.302967401909,2010,"current US$","","GDP per capita","Afghanistan"
"Afghanistan",438.076142403179,2009,"current US$","","GDP per capita","Afghanistan"
"Afghanistan",364.660679028164,2008,"current US$","","GDP per capita","Afghanistan"
"Afghanistan",359.693157866109,2007,"current US$","","GDP per capita","Afghanistan"
"Afghanistan",263.733601866274,2006,"current US$","","GDP per capita","Afghanistan"
"Afghanistan",242.031313175022,2005,"current US$","","GDP per capita","Afghanistan"
"Afghanistan",211.382074198939,2004,"current US$","","GDP per capita","Afghanistan"
"Afghanistan",190.683814295088,2003,"current US$","","GDP per capita","Afghanistan"
"Afghanistan",179.426579211394,2002,"current US$","","GDP per capita","Afghanistan"
"Afghanistan",1.18922812838034,2018,"%","Annual GDP growth","GDP growth","Afghanistan"
"Afghanistan",2.64700320195786,2017,"%","Annual GDP growth","GDP growth","Afghanistan"
"Afghanistan",2.26031420130452,2016,"%","Annual GDP growth","GDP growth","Afghanistan"
"Afghanistan",1.45131466009755,2015,"%","Annual GDP growth","GDP growth","Afghanistan"
"Afghanistan",2.72454336394854,2014,"%","Annual GDP growth","GDP growth","Afghanistan"
"Afghanistan",5.60074465808154,2013,"%","Annual GDP growth","GDP growth","Afghanistan"
"Afghanistan",12.7522870887171,2012,"%","Annual GDP growth","GDP growth","Afghanistan"
"Afghanistan",0.426354784529209,2011,"%","Annual GDP growth","GDP growth","Afghanistan"
"Afghanistan",14.3624414692681,2010,"%","Annual GDP growth","GDP growth","Afghanistan"
"Afghanistan",21.3905283931066,2009,"%","Annual GDP growth","GDP growth","Afghanistan"
"Afghanistan",3.92498382161573,2008,"%","Annual GDP growth","GDP growth","Afghanistan"
"Afghanistan",13.8263195479763,2007,"%","Annual GDP growth","GDP growth","Afghanistan"
"Afghanistan",5.35740325126351,2006,"%","Annual GDP growth","GDP growth","Afghanistan"
"Afghanistan",11.2297148236429,2005,"%","Annual GDP growth","GDP growth","Afghanistan"
"Afghanistan",1.41411798058979,2004,"%","Annual GDP growth","GDP growth","Afghanistan"
"Afghanistan",8.83227781263571,2003,"%","Annual GDP growth","GDP growth","Afghanistan"
"Afghanistan",22.0428967527575,2018,"%","Agri, forestry, and fishing \n GDP value ","Agriculture GDP","Afghanistan"
"Afghanistan",26.4201990834448,2017,"%","Agri, forestry, and fishing \n GDP value ","Agriculture GDP","Afghanistan"
"Afghanistan",25.7403140364582,2016,"%","Agri, forestry, and fishing \n GDP value ","Agriculture GDP","Afghanistan"
"Afghanistan",20.6343227166798,2015,"%","Agri, forestry, and fishing \n GDP value ","Agriculture GDP","Afghanistan"
"Afghanistan",22.1370413719574,2014,"%","Agri, forestry, and fishing \n GDP value ","Agriculture GDP","Afghanistan"
"Afghanistan",22.8106627361766,2013,"%","Agri, forestry, and fishing \n GDP value ","Agriculture GDP","Afghanistan"
"Afghanistan",24.390873626371,2012,"%","Agri, forestry, and fishing \n GDP value ","Agriculture GDP","Afghanistan"
"Afghanistan",23.7436639877543,2011,"%","Agri, forestry, and fishing \n GDP value ","Agriculture GDP","Afghanistan"
"Afghanistan",26.2100685374552,2010,"%","Agri, forestry, and fishing \n GDP value ","Agriculture GDP","Afghanistan"
"Afghanistan",29.2975010547259,2009,"%","Agri, forestry, and fishing \n GDP value ","Agriculture GDP","Afghanistan"
"Afghanistan",24.8922700059742,2008,"%","Agri, forestry, and fishing \n GDP value ","Agriculture GDP","Afghanistan"
"Afghanistan",30.1050113574013,2007,"%","Agri, forestry, and fishing \n GDP value ","Agriculture GDP","Afghanistan"
"Afghanistan",28.6359685844686,2006,"%","Agri, forestry, and fishing \n GDP value ","Agriculture GDP","Afghanistan"
"Afghanistan",31.114854912062,2005,"%","Agri, forestry, and fishing \n GDP value ","Agriculture GDP","Afghanistan"
"Afghanistan",29.7210671376957,2004,"%","Agri, forestry, and fishing \n GDP value ","Agriculture GDP","Afghanistan"
"Afghanistan",37.4188554431481,2003,"%","Agri, forestry, and fishing \n GDP value ","Agriculture GDP","Afghanistan"
"Afghanistan",38.6278918638443,2002,"%","Agri, forestry, and fishing \n GDP value ","Agriculture GDP","Afghanistan"
"Afghanistan",43.1300010681152,2018,"%","Share of total employment, \n modelled","Agricultural jobs","Afghanistan"
"Afghanistan",43.9900016784668,2017,"%","Share of total employment, \n modelled","Agricultural jobs","Afghanistan"
"Afghanistan",45.810001373291,2016,"%","Share of total employment, \n modelled","Agricultural jobs","Afghanistan"
"Afghanistan",47.0699996948242,2015,"%","Share of total employment, \n modelled","Agricultural jobs","Afghanistan"
"Afghanistan",48.4099998474121,2014,"%","Share of total employment, \n modelled","Agricultural jobs","Afghanistan"
"Afghanistan",49.8199996948242,2013,"%","Share of total employment, \n modelled","Agricultural jobs","Afghanistan"
"Afghanistan",51.4000015258789,2012,"%","Share of total employment, \n modelled","Agricultural jobs","Afghanistan"
"Afghanistan",53.560001373291,2011,"%","Share of total employment, \n modelled","Agricultural jobs","Afghanistan"
"Afghanistan",54.5800018310547,2010,"%","Share of total employment, \n modelled","Agricultural jobs","Afghanistan"
"Afghanistan",56.8899993896484,2009,"%","Share of total employment, \n modelled","Agricultural jobs","Afghanistan"
"Afghanistan",59.2900009155273,2008,"%","Share of total employment, \n modelled","Agricultural jobs","Afghanistan"
"Afghanistan",60.1399993896484,2007,"%","Share of total employment, \n modelled","Agricultural jobs","Afghanistan"
"Afghanistan",61.2799987792969,2006,"%","Share of total employment, \n modelled","Agricultural jobs","Afghanistan"
"Afghanistan",62.1500015258789,2005,"%","Share of total employment, \n modelled","Agricultural jobs","Afghanistan"
"Afghanistan",63.2700004577637,2004,"%","Share of total employment, \n modelled","Agricultural jobs","Afghanistan"
"Afghanistan",63.7000007629395,2003,"%","Share of total employment, \n modelled","Agricultural jobs","Afghanistan"
"Afghanistan",64.4199981689453,2002,"%","Share of total employment, \n modelled","Agricultural jobs","Afghanistan"
"Afghanistan",66.2900009155273,2001,"%","Share of total employment, \n modelled","Agricultural jobs","Afghanistan"
"Afghanistan",65.8399963378906,2000,"%","Share of total employment, \n modelled","Agricultural jobs","Afghanistan"
"Afghanistan",65.4599990844727,1999,"%","Share of total employment, \n modelled","Agricultural jobs","Afghanistan"
"Afghanistan",65.1999969482422,1998,"%","Share of total employment, \n modelled","Agricultural jobs","Afghanistan"
"Afghanistan",64.9800033569336,1997,"%","Share of total employment, \n modelled","Agricultural jobs","Afghanistan"
"Afghanistan",64.6800003051758,1996,"%","Share of total employment, \n modelled","Agricultural jobs","Afghanistan"
"Afghanistan",64.3000030517578,1995,"%","Share of total employment, \n modelled","Agricultural jobs","Afghanistan"
"Afghanistan",64.4400024414063,1994,"%","Share of total employment, \n modelled","Agricultural jobs","Afghanistan"
"Afghanistan",64.4100036621094,1993,"%","Share of total employment, \n modelled","Agricultural jobs","Afghanistan"
"Afghanistan",63.6500015258789,1992,"%","Share of total employment, \n modelled","Agricultural jobs","Afghanistan"
"Afghanistan",63.4300003051758,1991,"%","Share of total employment, \n modelled","Agricultural jobs","Afghanistan"
"Afghanistan",96.52,2018,"2004-2006=100","","Food production index","Afghanistan"
"Afghanistan",98.69,2017,"2004-2006=100","","Food production index","Afghanistan"
"Afghanistan",104.32,2016,"2004-2006=100","","Food production index","Afghanistan"
"Afghanistan",97.49,2015,"2004-2006=100","","Food production index","Afghanistan"
"Afghanistan",98.2,2014,"2004-2006=100","","Food production index","Afghanistan"
"Afghanistan",94.08,2013,"2004-2006=100","","Food production index","Afghanistan"
"Afghanistan",96.99,2012,"2004-2006=100","","Food production index","Afghanistan"
"Afghanistan",88.45,2011,"2004-2006=100","","Food production index","Afghanistan"
"Afghanistan",92.79,2010,"2004-2006=100","","Food production index","Afghanistan"
"Afghanistan",93.36,2009,"2004-2006=100","","Food production index","Afghanistan"
"Afghanistan",80.55,2008,"2004-2006=100","","Food production index","Afghanistan"
"Afghanistan",85.68,2007,"2004-2006=100","","Food production index","Afghanistan"
"Afghanistan",78.25,2006,"2004-2006=100","","Food production index","Afghanistan"
"Afghanistan",84.49,2005,"2004-2006=100","","Food production index","Afghanistan"
"Afghanistan",75.6,2004,"2004-2006=100","","Food production index","Afghanistan"
"Afghanistan",77.65,2003,"2004-2006=100","","Food production index","Afghanistan"
"Afghanistan",75.57,2002,"2004-2006=100","","Food production index","Afghanistan"
"Afghanistan",62.28,2001,"2004-2006=100","","Food production index","Afghanistan"
"Afghanistan",68.54,2000,"2004-2006=100","","Food production index","Afghanistan"
"Afghanistan",80.59,1999,"2004-2006=100","","Food production index","Afghanistan"
"Afghanistan",81.52,1998,"2004-2006=100","","Food production index","Afghanistan"
"Afghanistan",77.29,1997,"2004-2006=100","","Food production index","Afghanistan"
"Afghanistan",72.2,1996,"2004-2006=100","","Food production index","Afghanistan"
"Afghanistan",68.6,1995,"2004-2006=100","","Food production index","Afghanistan"
"Afghanistan",65.68,1994,"2004-2006=100","","Food production index","Afghanistan"
"Afghanistan",62.12,1993,"2004-2006=100","","Food production index","Afghanistan"
"Afghanistan",58.85,1992,"2004-2006=100","","Food production index","Afghanistan"
"Afghanistan",60.72,1991,"2004-2006=100","","Food production index","Afghanistan"
"Afghanistan",52.9,1990,"2004-2006=100","","Food production index","Afghanistan"
"Afghanistan",34.0330570936499,2018,"%","Food over merchandise imports","Food imports","Afghanistan"
"Afghanistan",23.5599980058157,2016,"%","Food over merchandise imports","Food imports","Afghanistan"
"Afghanistan",19.2271235944006,2015,"%","Food over merchandise imports","Food imports","Afghanistan"
"Afghanistan",9.51326057195841,2014,"%","Food over merchandise imports","Food imports","Afghanistan"
"Afghanistan",7.54684014524629,2013,"%","Food over merchandise imports","Food imports","Afghanistan"
"Afghanistan",4.27602338186878,2012,"%","Food over merchandise imports","Food imports","Afghanistan"
"Afghanistan",14.0292713208405,2011,"%","Food over merchandise imports","Food imports","Afghanistan"
"Afghanistan",13.6918476055713,2010,"%","Food over merchandise imports","Food imports","Afghanistan"
"Afghanistan",18.2936161520611,2009,"%","Food over merchandise imports","Food imports","Afghanistan"
"Afghanistan",17.3695294018036,2008,"%","Food over merchandise imports","Food imports","Afghanistan"
"Afghanistan",58.0813650706124,2018,"%","Share of total land","Agricultural land","Afghanistan"
"Afghanistan",58.0675795729559,2017,"%","Share of total land","Agricultural land","Afghanistan"
"Afghanistan",58.0675795729559,2016,"%","Share of total land","Agricultural land","Afghanistan"
"Afghanistan",58.0675795729559,2015,"%","Share of total land","Agricultural land","Afghanistan"
"Afghanistan",58.0675795729559,2014,"%","Share of total land","Agricultural land","Afghanistan"
"Afghanistan",58.0675795729559,2013,"%","Share of total land","Agricultural land","Afghanistan"
"Afghanistan",58.0675795729559,2012,"%","Share of total land","Agricultural land","Afghanistan"
"Afghanistan",58.0675795729559,2011,"%","Share of total land","Agricultural land","Afghanistan"
"Afghanistan",58.0691112949177,2010,"%","Share of total land","Agricultural land","Afghanistan"
"Afghanistan",58.0675795729559,2009,"%","Share of total land","Agricultural land","Afghanistan"
"Afghanistan",58.0675795729559,2008,"%","Share of total land","Agricultural land","Afghanistan"
"Afghanistan",58.0675795729559,2007,"%","Share of total land","Agricultural land","Afghanistan"
"Afghanistan",58.0675795729559,2006,"%","Share of total land","Agricultural land","Afghanistan"
"Afghanistan",58.0675795729559,2005,"%","Share of total land","Agricultural land","Afghanistan"
"Afghanistan",58.0691112949177,2004,"%","Share of total land","Agricultural land","Afghanistan"
"Afghanistan",58.0675795729559,2003,"%","Share of total land","Agricultural land","Afghanistan"
"Afghanistan",57.8270992249487,2002,"%","Share of total land","Agricultural land","Afghanistan"
"Afghanistan",57.8270992249487,2001,"%","Share of total land","Agricultural land","Afghanistan"
"Afghanistan",57.8270992249487,2000,"%","Share of total land","Agricultural land","Afghanistan"
"Afghanistan",57.8270992249487,1999,"%","Share of total land","Agricultural land","Afghanistan"
"Afghanistan",58.0017155285973,1998,"%","Share of total land","Agricultural land","Afghanistan"
"Afghanistan",57.8837729375364,1997,"%","Share of total land","Agricultural land","Afghanistan"
"Afghanistan",57.8255675029869,1996,"%","Share of total land","Agricultural land","Afghanistan"
"Afghanistan",57.8270992249487,1995,"%","Share of total land","Agricultural land","Afghanistan"
"Afghanistan",57.9190025426585,1994,"%","Share of total land","Agricultural land","Afghanistan"
"Afghanistan",58.1043409000398,1993,"%","Share of total land","Agricultural land","Afghanistan"
"Afghanistan",58.2513862083755,1992,"%","Share of total land","Agricultural land","Afghanistan"
"Afghanistan",58.2513862083755,1991,"%","Share of total land","Agricultural land","Afghanistan"
"Afghanistan",58.2667034279937,1990,"%","Share of total land","Agricultural land","Afghanistan"
"Afghanistan",1.85099408755323,2018,"%","Share of total land","Forest land","Afghanistan"
"Afghanistan",1.85099408755323,2017,"%","Share of total land","Forest land","Afghanistan"
"Afghanistan",1.85099408755323,2016,"%","Share of total land","Forest land","Afghanistan"
"Afghanistan",1.85099408755323,2015,"%","Share of total land","Forest land","Afghanistan"
"Afghanistan",1.85099408755323,2014,"%","Share of total land","Forest land","Afghanistan"
"Afghanistan",1.85099408755323,2013,"%","Share of total land","Forest land","Afghanistan"
"Afghanistan",1.85099408755323,2012,"%","Share of total land","Forest land","Afghanistan"
"Afghanistan",1.85099408755323,2011,"%","Share of total land","Forest land","Afghanistan"
"Afghanistan",1.85099408755323,2010,"%","Share of total land","Forest land","Afghanistan"
"Afghanistan",1.85099408755323,2009,"%","Share of total land","Forest land","Afghanistan"
"Afghanistan",1.85099408755323,2008,"%","Share of total land","Forest land","Afghanistan"
"Afghanistan",1.85099408755323,2007,"%","Share of total land","Forest land","Afghanistan"
"Afghanistan",1.85099408755323,2006,"%","Share of total land","Forest land","Afghanistan"
"Afghanistan",1.85099408755323,2005,"%","Share of total land","Forest land","Afghanistan"
"Afghanistan",1.85099408755323,2004,"%","Share of total land","Forest land","Afghanistan"
"Afghanistan",1.85099408755323,2003,"%","Share of total land","Forest land","Afghanistan"
"Afghanistan",1.85099408755323,2002,"%","Share of total land","Forest land","Afghanistan"
"Afghanistan",1.85099408755323,2001,"%","Share of total land","Forest land","Afghanistan"
"Afghanistan",1.85099408755323,2000,"%","Share of total land","Forest land","Afghanistan"
"Afghanistan",1.85099408755323,1999,"%","Share of total land","Forest land","Afghanistan"
"Afghanistan",1.85099408755323,1998,"%","Share of total land","Forest land","Afghanistan"
"Afghanistan",1.85099408755323,1997,"%","Share of total land","Forest land","Afghanistan"
"Afghanistan",1.85099408755323,1996,"%","Share of total land","Forest land","Afghanistan"
"Afghanistan",1.85099408755323,1995,"%","Share of total land","Forest land","Afghanistan"
"Afghanistan",1.85099408755323,1994,"%","Share of total land","Forest land","Afghanistan"
"Afghanistan",1.85099408755323,1993,"%","Share of total land","Forest land","Afghanistan"
"Afghanistan",1.85099408755323,1992,"%","Share of total land","Forest land","Afghanistan"
"Afghanistan",1.85099408755323,1991,"%","Share of total land","Forest land","Afghanistan"
"Afghanistan",1.85099408755323,1990,"%","Share of total land","Forest land","Afghanistan"
"Afghanistan",2164.9,2018,"kg","Yield per hectare","Cereal yield","Afghanistan"
"Afghanistan",2025.1,2017,"kg","Yield per hectare","Cereal yield","Afghanistan"
"Afghanistan",1981.9,2016,"kg","Yield per hectare","Cereal yield","Afghanistan"
"Afghanistan",2133.7,2015,"kg","Yield per hectare","Cereal yield","Afghanistan"
"Afghanistan",2017.5,2014,"kg","Yield per hectare","Cereal yield","Afghanistan"
"Afghanistan",2048.5,2013,"kg","Yield per hectare","Cereal yield","Afghanistan"
"Afghanistan",2029.6,2012,"kg","Yield per hectare","Cereal yield","Afghanistan"
"Afghanistan",1659.9,2011,"kg","Yield per hectare","Cereal yield","Afghanistan"
"Afghanistan",2011.1,2010,"kg","Yield per hectare","Cereal yield","Afghanistan"
"Afghanistan",2040.7,2009,"kg","Yield per hectare","Cereal yield","Afghanistan"
"Afghanistan",1455.4,2008,"kg","Yield per hectare","Cereal yield","Afghanistan"
"Afghanistan",1915.3,2007,"kg","Yield per hectare","Cereal yield","Afghanistan"
"Afghanistan",1551.7,2006,"kg","Yield per hectare","Cereal yield","Afghanistan"
"Afghanistan",1790.4,2005,"kg","Yield per hectare","Cereal yield","Afghanistan"
"Afghanistan",1334.8,2004,"kg","Yield per hectare","Cereal yield","Afghanistan"
"Afghanistan",1458,2003,"kg","Yield per hectare","Cereal yield","Afghanistan"
"Afghanistan",1669.8,2002,"kg","Yield per hectare","Cereal yield","Afghanistan"
"Afghanistan",1006.7,2001,"kg","Yield per hectare","Cereal yield","Afghanistan"
"Afghanistan",806.3,2000,"kg","Yield per hectare","Cereal yield","Afghanistan"
"Afghanistan",1285.7,1999,"kg","Yield per hectare","Cereal yield","Afghanistan"
"Afghanistan",1388,1998,"kg","Yield per hectare","Cereal yield","Afghanistan"
"Afghanistan",1348.8,1997,"kg","Yield per hectare","Cereal yield","Afghanistan"
"Afghanistan",1204.4,1996,"kg","Yield per hectare","Cereal yield","Afghanistan"
"Afghanistan",1214.5,1995,"kg","Yield per hectare","Cereal yield","Afghanistan"
"Afghanistan",1140.4,1994,"kg","Yield per hectare","Cereal yield","Afghanistan"
"Afghanistan",1132.9,1993,"kg","Yield per hectare","Cereal yield","Afghanistan"
"Afghanistan",1097.8,1992,"kg","Yield per hectare","Cereal yield","Afghanistan"
"Afghanistan",1160.4,1991,"kg","Yield per hectare","Cereal yield","Afghanistan"
"Afghanistan",1200.6,1990,"kg","Yield per hectare","Cereal yield","Afghanistan"
"Afghanistan",98.1696273,2017,"%","Share of total","Water use agriculture","Afghanistan"
"Afghanistan",98.1696273,2012,"%","Share of total","Water use agriculture","Afghanistan"
"Afghanistan",98.1696273,2007,"%","Share of total","Water use agriculture","Afghanistan"
"Afghanistan",98.43110659,2002,"%","Share of total","Water use agriculture","Afghanistan"
"Afghanistan",98.66544157,1997,"%","Share of total","Water use agriculture","Afghanistan"
"Afghanistan",98.85164512,1992,"%","Share of total","Water use agriculture","Afghanistan"
"Afghanistan",29.9,2018,"%","Prevalence in population","Undernourishment","Afghanistan"
"Afghanistan",28.9,2017,"%","Prevalence in population","Undernourishment","Afghanistan"
"Afghanistan",27.5,2016,"%","Prevalence in population","Undernourishment","Afghanistan"
"Afghanistan",25.8,2015,"%","Prevalence in population","Undernourishment","Afghanistan"
"Afghanistan",26.4,2014,"%","Prevalence in population","Undernourishment","Afghanistan"
"Afghanistan",26.5,2013,"%","Prevalence in population","Undernourishment","Afghanistan"
"Afghanistan",27.2,2012,"%","Prevalence in population","Undernourishment","Afghanistan"
"Afghanistan",25,2011,"%","Prevalence in population","Undernourishment","Afghanistan"
"Afghanistan",24.1,2010,"%","Prevalence in population","Undernourishment","Afghanistan"
"Afghanistan",24.9,2009,"%","Prevalence in population","Undernourishment","Afghanistan"
"Afghanistan",26.4,2008,"%","Prevalence in population","Undernourishment","Afghanistan"
"Afghanistan",30,2007,"%","Prevalence in population","Undernourishment","Afghanistan"
"Afghanistan",33.5,2006,"%","Prevalence in population","Undernourishment","Afghanistan"
"Afghanistan",36.2,2005,"%","Prevalence in population","Undernourishment","Afghanistan"
"Afghanistan",38.1,2004,"%","Prevalence in population","Undernourishment","Afghanistan"
"Afghanistan",40.7,2003,"%","Prevalence in population","Undernourishment","Afghanistan"
"Afghanistan",45.7,2002,"%","Prevalence in population","Undernourishment","Afghanistan"
"Afghanistan",47.8,2001,"%","Prevalence in population","Undernourishment","Afghanistan"
"Armenia",0.235799808401976,2018,"%","Annual population growth","Population growth","Armenia"
"Armenia",0.293899005891436,2017,"%","Annual population growth","Population growth","Armenia"
"Armenia",0.361260408326477,2016,"%","Annual population growth","Population growth","Armenia"
"Armenia",0.450705991935445,2015,"%","Annual population growth","Population growth","Armenia"
"Armenia",0.509812126446043,2014,"%","Annual population growth","Population growth","Armenia"
"Armenia",0.461930535014127,2013,"%","Annual population growth","Population growth","Armenia"
"Armenia",0.26742945492201,2012,"%","Annual population growth","Population growth","Armenia"
"Armenia",-0.0270427628367578,2011,"%","Annual population growth","Population growth","Armenia"
"Armenia",-0.373954889662394,2010,"%","Annual population growth","Population growth","Armenia"
"Armenia",-0.673638853162549,2009,"%","Annual population growth","Population growth","Armenia"
"Armenia",-0.856135895388362,2008,"%","Annual population growth","Population growth","Armenia"
"Armenia",-0.872060059332368,2007,"%","Annual population growth","Population growth","Armenia"
"Armenia",-0.773158374746929,2006,"%","Annual population growth","Population growth","Armenia"
"Armenia",-0.650389280091987,2005,"%","Annual population growth","Population growth","Armenia"
"Armenia",-0.572322312384323,2004,"%","Annual population growth","Population growth","Armenia"
"Armenia",-0.53001538172706,2003,"%","Annual population growth","Population growth","Armenia"
